id,"title","authors","venue","year"
141,"preferential treatment for short flows to reduce web latency","x chen , j heidemann","computer networks ,","2003.0"
142,"instrumental stakeholder theory : a synthesis of ethics and economics","tm jones","the academy of management review ,","1995.0"
143,"curves and surfaces in computer aided geometric design","g farin","",""
144,"a data warehouse intelligent cache manager [ c ]","p schenermannÃ¢ ? Â¦","proc of the 22nd vldb conf ,",""
145,"assessment , enhancement , and verification determinants of the self-evaluation process","c sedikides","journal of personality and social psychology ,","1993.0"
146,"the velocity of sound below 1 k","kr atkins , dv osborne","phil . mag ,",""
147,"dye standards , part i : terminology and general principles","h lyon , e schulte , a de leenheer , s lewis , v","the histochemical journal ,","1992.0"
148,"estimating dna sequence entropy","jk lanctot","",""
149,"svÃ¢ `` jeuxantiquesÃ¢ ''","ve encarta","","1993.0"
150,"learning plateaus in generalized cognitive condensations : phase transition , path dependence and","r wallace , r fullilove","","2001.0"
151,"multiaccess of a slotted channel using a control mini-slot","l merakos , d kazakos","proc . int . conf . communications ,",""
152,"urban watershed gis models for neighborhood environmental education . 1997 acsm/asprs annual","cj van zee , p hayes","seattle , washington , april ,",""
153,"plan mining by divide-andconquer","j han , q yang , e kim","proceedings of sigmodÃ¢ ?? 99 workshop on research issues on & hellip ; ,",""
154,"contextual method for the re-design of existing software products","r jones , n milic-frayling , k rodden , a blackwell","",""
155,"imaging of layered structures in biological tissues with opto-acoustic front surface transducer","aa karabutov , ev savateeva , aa oraevsky","proc . spie ,","1999.0"
156,"foundations of differential geometry ( interscience , new york , 1963 )","s kobayashi , k nomizu","vol .",""
157,"blind nasotracheal intubation in the presence of facial trauma","cl rosen , re wolfe , se chew , sw branney , ej roe","journal of emergency medicine ,","1997.0"
158,"electron microscopy and diffraction of twinned structures in evaporated films of gold","dw pashley , mj stowell","phil . mag ,",""
159,"genera crustaceorum et insectorum","pa latreille","tomus i ,",""
160,"legal studies and mediation .","j rifkin","new directions for higher education ,","1980.0"
161,"ethical decision making in organizations : a person-situation interactionist model","lk trevino","the academy of management review ,","1986.0"
162,"application servers ( panel session ) : born-again tp monitors for the web","c mohan , l cable , m devin , s dietzen , p helland , d","proceedings of the 2001 acm sigmod international conference & hellip ; ,","2001.0"
163,"ws-catalognet : an infrastructure for creating , peering , and querying e-catalog communities","k baina , b benatallah , h paik , f toumani , c rey , a","proceedings of the international conference on very large & hellip ; ,",""
164,"pollution prevention at shipyards","pnppr center","seattle , washington , september ,",""
165,"stochastic averaging of hamiltonian systems : a direct martingale proof of a result by freidlin and","r sowers , n sri namachchivaya","submitted for publication ,",""
166,"nsf workshop on industrial/academic cooperation in database systems","m carey , l seligman","sigmod record ,","1999.0"
167,"Ã® Â³ - spectrometric determination of the content of natural radionuclides in ground water","a mukhamedov , gv poteshkin , us salikhbaevÃ¢ ? Â¦","at .",""
168,"controlled trial of internet based treatment for chronic back pain","m buhrman , s fÃ£ $ ltenhag , l strÃ£ Â¶ m , g andersson","unpublished manuscript ,",""
169,"evaluation of local detectors on non-planar scenes","f fraundorfer , h bischof","",""
170,"participation 's effects on performance and satisfaction : a reconsideration of research evidence","ja wagner iii","the academy of management review ,","1994.0"
171,"using new clues to find data","c fie1771 fields , n negroponte","third international conference on very large data bases , & hellip ; ,",""
172,"imino esters : versatile substrates for the catalytic , asymmetric synthesis of r-and Ã® Â² -","ae taggi , am hafez , tr lectka","amino acids and Ã® Â² - lactams . acc . chem . res ,",""
173,"came : the first step to automated software engineering","m saeki","procs . oopsla 2003 workshop on process engineering for & hellip ; ,",""
174,"address compression through base register caching","a park , m farrens","",""
175,"selectivity estimation in spatial databases , acm sigmod intl","s achaya , v poosala , s ramaswamy","conference on management of data ,",""
176,"to edit rdf","u protÃ£ Â© gÃ£ Â©","",""
177,"exploiting temporal parallelism for software-only video effects processing","k mayer-patel , la rowe","",""
178,"ii , fundamentals of parallel logic simulation","rj smith","proceedings of the 23rd acm/ieee conference on design & hellip ; ,",""
179,"efficient transparent application recovery","d lomet , g weikum","client-server information systems .",""
180,"parametric query optimization for linear and piecewise linear cost functions","ah hs02 , s sudarshan","","2002.0"
181,"personal communication","p hunt","herpetologist , santa barbara , california ,",""
182,"predatory behavior of grizzly bears feeding on elk calves in yellowstone national park , 1986-88","sp french , mg french","international conference on bear research and management ,",""
183,"dolphin : integrated meeting support across local and remote desktop environments and liveboards","na streitz , j geiÃ£?ler , jm haake , j hol","proceedings of the 1994 acm conference on computer supported & hellip ; ,","1994.0"
184,"potential interference to gps from uwb transmitters ; phase ii test results : accuracy , loss-of-lock ,","m luo , m koenig , d akos , s pullen , p enge","technical report 3.0 , stanford university , march",""
185,"capitalistic mathematics","vp maslov","manuscript",""
186,"santilliÃ¢ ?? s lieÃ¢ ?? isotopic generalization of galileiÃ¢ ?? s and einsteinÃ¢ ?? s relativities ( 1990 )","ak aringazin , a jannussis , df lopez , m nishioka , b","kostarakis publisher , athens , greece",""
187,"rainwater-harvesting agriculture for food production in arid zones : the challenge of the african","hj bruins , m evenari , u nessler","applied geography ,",""
188,"knowledge of blindness adaptation techniques among rehabilitation undergraduate students","mj hoover","","2003.0"
189,"personal communications","j mao","ibm almaden research center ,",""
190,"behavioral ecology and the evolution of hunter-gatherer societies on the northern channel islands ,","dj kennett","","1998.0"
191,"report on the 18th british national conference on databases ( bncod )","c goble , b read","sigmod record ,","2002.0"
192,"role of interoperability in business application development","d cohen , g larson , l berke","proceedings of the 1993 acm sigmod international conference & hellip ; ,","1993.0"
193,"traces of the spirit : the religious dimensions of popular music","r sylvan","","1998.0"
194,"a selection combining scheme for rake receivers","n kong","",""
195,"towards generic service management concepts : a service model based approach . 7th ieee/ifip","m garschhammer , r hauckÃ¢ ? Â¦","seattle , washington usa : ieee publishing , may ,",""
196,"sustained product innovation in large , mature organizations : overcoming innovation-to-organization","d dougherty , c hardy","the academy of management journal ,","1996.0"
197,"national survey results on drug use from the monitoring the future study , 1975-1997Ã¢ ?? volume i","l johnston , poÃ¢ ?? malley , j bachman","md ,",""
198,"a parallel scheme for test pattern generation","a motohara , k nishimura , h fujiwara , i shirakawa","proc . int . conf . computer-aided design ,",""
199,"safety of computer control systems 1992 ( safecomp ' 92 ) . computer systems in safety-critical","hh frey","proc . ifac symposium , zurich , switzerland ,",""
200,"intra-annual changes in the abundance of coho , chinook , and chum salmon in puget sound in 1997","rj beamish , m folkes , r sweeting , c mahnken","",""
201,"biological monitoring and assessment : using multimetric indexes effectively","jr karr , ew chu","","1997.0"
202,"extracting structured data from web pages","a arasu , h garcia-molina","",""
203,"effects of externally mediated rewards on intrinsic motivation","el deci","journal of personality and social psychology ,","1971.0"
204,"wireless infrared communications","m kahn joseph , r barry john","proceedings of the ieee ,",""
205,"introduction to combinatorics , pg . 82 , 1996","mj erickson","",""
206,"comparison of systems with complex behavior","i mezic , a banaszuk","",""
207,"transportation and world development","jc lowe","economic geography ,","1988.0"
208,"effect of drive train and fuel control design on helicopter handling qualities","g guglieri","european rotorcraft forum , 25 th , rome , italy , proceedings. ,","1999.0"
209,"implicit stereotyping in person judgment","mr banaji , c hardin , aj rothman","journal of personality and social psychology ,","1993.0"
210,"lowering security overhead in link state routing","rc hauser , t przygienda , g tsudik","computer networks ,","1999.0"
211,"safetynet : a language-based approach to programmable networks","i wakeman , a jeffrey , t owen , d pepper","computer networks ,","2001.0"
212,"preface to the proceedings of the workshop on data reverse engineering","e chikofsky , hd kathi","","2000.0"
213,"performance analysis using the mips r10000 performance counters","m zagha , b larson , s turner , m itzkowitz","",""
214,"xenobiotics and hammation","lb schook , dl laskin","san diego : academic ,",""
215,"link prediction approach to collaborative filtering","z huang , x li , h chen","",""
216,"the universal distribution and a free lunch for program induction","j neil , j woodward","unpublished",""
217,"presynaptic localization of sodium/calcium exchangers in neuromuscular preparations","pw luther , rk yip , rj bloch , a ambesi , ge","",""
218,"academic press","eb davies , op semigroups","san diego ,",""
219,"passive dynamic running","mh raibert , cm thompson","experimental robotics i ,",""
220,"word and acoustic confidence annotation for large vocabulary speech recognition","l chase","",""
221,"rethinking risk financing","cp helbling , g fallegger , d hill","","1996.0"
222,"high resolution infrared solar observations by balloon","r zander","& hellip ; on infrared physics , zurich , switzerland , aug. 11-15 , 1975 . & hellip ; ,","1976.0"
223,"querying imprecise data in moving object environments","r cheng","ieee transactions on knowledge and data engineering ,","2004.0"
224,"enforcing modeling guidelines in an ordbms-based uml repository","n ritter , hp steiert","",""
225,"audit and feedback : effects on professional practice and health care outcomes","g jamtvedt , jm young , dt kristoffersen , o thomson ,","cochrane database syst rev ,","2003.0"
226,"branch libraries for multimedia repositories ( poster )","m kozuch , w wolf , a wolfe , d mckay","proceedings of the second acm international conference on & hellip ; ,","1997.0"
227,"implementing the earnings supplement project : a test of a re-employment incentive","hs bloomÃ¢ ? Â¦","",""
228,"wharton l. levy dh","re smalley","h. acc . chem . res ,",""
229,"the future of fiber-optic computer networks","pe greenÃ¢ ? Â¦","",""
230,"exposed points in spaces of bounded analytic functions .","sd fisher","","1967.0"
231,"2df mechanical engineering","g smith , a lankshear","proc . spie ,","1998.0"
232,"immunocytochemical localization ofras p21 product in thyroid follicular cells of normal rats using","y mizukami , a nonomura , t hashimoto , e kawahara , s","the histochemical journal ,","1988.0"
233,"evaluation of a random access system with hardware simulation ( for satellite location and data","gg delmas","& hellip ; telemetering conference , washington , d. c , proceedings ,","1975.0"
234,"distributed restoration in telecommunications networks","d johnsonÃ¢ ? Â¦","bt technology journal ,","1994.0"
235,"the 3d resurf double-gate mosfet : a revolutionary power device concept","f udrea , a popescu","electronic letters ,","1998.0"
236,"the highly conserved dad1 protein involved in apoptosis is required for n-linked glycosylation","t makishima , t nakashima , k nagata-kuno , k","genes to cells ,","1997.0"
237,"e-business models","r trombly","computerworld ,",""
238,"an analysis of the relationship between nln pre-admission scores , age and student success in two","em kirking","","2004.0"
239,"communication skills training for health care professionals working with cancer patients , their","d fellowes , s wilkinson , p moore","cochrane database syst rev ,","2003.0"
240,"composite objects revisited","w kim , e bertino , jf garza","proceedings of the 1989 acm sigmod international conference & hellip ; ,","1989.0"
241,"optimization of dynamic query evaluation plans","rl cole , g graefe","proceedings of the 1994 acm sigmod international conference & hellip ; ,","1994.0"
242,"yu . a. medvedev , and bm stepanov","av zhemerev","at .",""
243,"progressive encoding for lossless transmission of 3d meshes","p alliez , m desbrun","acm siggraph conference proceedings ,",""
244,"the house mouse : atlas of embryonic development","k theiler","","1989.0"
245,"provably secure coin flip in a byzantine environment","s awerbuch , b chor , s goldwasser , s micali","","1985.0"
246,"distance learning : whatÃ¢ ?? s holding back this boundless delivery system","i bruder","electronic learning ,","1989.0"
247,"soft-link hypertext for information retrieval","md ` inverno , p howells , mj hu , m luck","information & software technology ,","2002.0"
248,"testability , 1985 technology forecast","b milne","electronic design ,",""
249,"an organisational perspective of inter-organisational workflows","x zhao , c liu , y yang","international conference on business process management ,",""
250,"the gene-finder computer tools for analysis of human and model organisms genome sequences","v solovyev , a salamov","proc . int . conf . intell . syst . mol . biol ,","1997.0"
251,"socioeconomic restructuring and regional change : rethinking growth in the european community .","a rodriguez-pose","economic geography ,","1994.0"
252,"introduction to integrated project support environments","p hitchcock","information and software technology ,","1987.0"
253,"h instability and 1 = f noise in bipolar transistors","z yiqi , s qing","28th annu . proc . int . reliability physics symp ,",""
254,"the remit system for paraphrasing relational query expressions into natural language","bgt lowden","vldb ,","1986.0"
255,"the , l.-s. , & leising","pa milne","md ,",""
256,"mapinfo spatialware : a spatial information server for rdbms .","c mina","vldb ,","1998.0"
257,"correlation-dispersion method of measuring the output of a water-water power reactor","ln bogachek , ka gazaryan , vv lyenkoÃ¢ ? Â¦","at .",""
258,"the stakeholder approach to evaluation : origins and promise","ch weiss","new directions for program evaluation ,","1983.0"
259,"experience in developing and testing network protocol software using fdts","mu uyar , ma fecko , ay duale , pd amer , as sethi","information and software technology ,","2003.0"
260,"modes of action of fk506 , cyclosporin a , and rapamycin","r morris","transplantation proceedings ,","1994.0"
261,"tata probabilistic temporal databases , i : algebra","a dekhtyar , r ross , vs subrahmanian","technical report cs-tr-3987 , department of computer science ,",""
262,"mpegÃ¢ ?? 7 camera","t ebrahimi , y abdeljaoued , rmf i ventura , od","",""
263,"a. , h. muroya , and rg gould . 1972","p edwards","vivo demonstration of the circadian . rhythm of cholesterol",""
264,"asilomar report","p bernstein , m brodie , s ceri , m franklinÃ¢ ? Â¦","sigmod record ,",""
265,"i2i trust in e-commerce","js olson , gm olson","communications-acm ,","2000.0"
266,"the stimulation of reproduction in coelenterates by low levels of toxic stress .","ard stebbing","unep , athens ( greece ) . 1991. ,","1991.0"
267,"contractual types","o nierstrasz","submitted for publication ,","2003.0"
268,"arrangement of latches in scan-path design to improve delay fault coverage","w mao , md ciletti","proc . int . test conference ,","1990.0"
269,"selenium determination in animal whole blood using stabilized temperature platform furnace and","rh eckerlin , dw hoult , gr carnrick","at spectrosc ,",""
270,"automatic assessment aids for pascal programs","mj rees","acm sigplan notices ,","1982.0"
271,"the formulation of molecular quantum mechanics with the aid of particle density operators and phase","m schleicher","& hellip ; eidgenoessische technische hochschule , zurich ( switzerland ) & hellip ; ,","1974.0"
272,"engineering applications of correlation and spectral analysis","js bendat , a piersol","","1980.0"
273,"optimal selection of supply voltages and level-conversion during data-path scheduling under resource","m johnson , k roy","proceedings of the 1996 ieee/acm international conference on & hellip ; ,",""
274,"the transmembrane domain of the large subunit of hsv-2 ribonucleotide reductase ( icp10 ) is required","cc smith , jh luo , jcr hunter , jv ordonez","virology-new york - ,","1994.0"
275,"binary data transmission techniques for linear systems","ml doelz , et heald , dl martin","proc . ire ,",""
