id,title,authors,venue,year
181,a multidatabase system for tracking and retrieval of financial data,"m cochinwala , j bradley",vldb,1994
182,a general techniques for querying xml documents using a relational database system,"j shanmugasundaram , e shekita , j kiernan , r krishnamurthy , s viglas , j naughton , i tatarinov",sigmod record,2001
183,an overview of repository technology,"p bernstein , u dayal",vldb,1994
184,advanced xml data processing - guest editor 's introduction,k aberer,sigmod record,2001
185,data compression support in databases,"b iyer , d wilhite",vldb,1994
186,accessibility of the database literature,r snodgrass,sigmod record,2001
187,treasurer 's message,,,2001
188,an empirical performance study of the ingres search accelerator for a large property management database system,"s anand , d bell , j hughes",vldb,1994
189,chair 's message,,,2001
190,data integration in the large : the challenge of reuse,"a rosenthal , l seligman",vldb,1994
191,career-enhancing services at sigmod online,"a labrinidis , a mendelzon",sigmod record,2001
192,experiments on access to digital libraries : how can images and text be used together,m lesk,vldb,1994
193,pc database systems - present and future,p bernstein,vldb,1994
194,editor 's notes,l liu,sigmod record,2001
195,data mining-based intrusion detectors : an overview of the columbia ids project,"s stolfo , w lee , p chan , w fan , e eskin",sigmod record,2001
196,distributed top-k monitoring,"b babcock , c olston",sigmod conference,2003
197,approximate join processing over data streams,"a das , j gehrke , m riedewald",sigmod conference,2003
198,adam : a testbed for exploring the use of data mining in intrusion detection,"d barbarс , j couto , s jajodia , n wu",sigmod record,2001
199,detection and classification of intrusions and faults using sequences of system calls,"j cabrera , l lewis , r mehra",sigmod record,2001
200,containment join size estimation : models and methods,"w wang , h jiang , h lu , j yu",sigmod conference,2003
201,relating distributed objects,"b martin , r cattell",vldb,1994
202,book review column,k aberer,sigmod record,2001
203,integrating a structured-text retrieval system with an object-oriented database system,"t yan , j annevelink",vldb,1994
204,describing semistructured data,l cardelli,sigmod record,2001
205,chair 's message,,,2001
206,user interfaces ; who cares ?,s spaccapietra,vldb,1994
207,special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction,,,2001
208,scientific databases - state of the art and future directions,"m zemankova , y ioannidis",vldb,1994
209,mining system audit data : opportunities and challenges,"w lee , w fan",sigmod record,2001
210,efficient similarity search and classification via rank aggregation,"r fagin , r kumar , d sivakumar",sigmod conference,2003
211,using unknowns to prevent discovery of association rules,"y saygin , v verykios , c clifton",sigmod record,2001
212,extracting structured data from web pages,"a arasu , h garcia-molina",sigmod conference,2003
213,factorizing complex predicates in queries to exploit indexes,"s chaudhuri , p ganesan , s sarawagi",sigmod conference,2003
214,mining email content for author identification forensics,"o vel , a anderson , m corney , g mohay",sigmod record,2001
215,transactional information systems - book review,,,2001
216,estimating compilation time of a query optimizer,"i ilyas , j rao , g lohman , d gao , e lin",sigmod conference,2003
217,extended wavelets for multiple measures,"a deligiannakis , n roussopoulos",sigmod conference,2003
218,information warfare and security - book review,,,2001
219,treasurer 's message,,,2000
220,"gio wiederhold speaks out on moving into academia in mid-career , how to be an effective consultant , why you should be a program manager as a funding agency , the need for ontology algebra and simulations , and more",,,2001
221,chain : operator scheduling for memory minimization in data stream systems,"b babcock , s babu , m datar , r motwani",sigmod conference,2003
222,sigmod 2001 industry sessions,"g lohman , c galindo-legaria , m franklin , l seligman",sigmod record,2001
223,capturing both types and constraints in data integration,"m benedikt , c chan , w fan , j freire , r rastogi",sigmod conference,2003
224,reminiscences on influential papers,,,2001
225,exchanging intensional xml data,"t milo , s abiteboul , b amann , o benjelloun , f ngoc",sigmod conference,2003
226,the gmap : a versatile tool for physical data independence,"o tsatalos , m solomon , y ioannidis",vldb,1994
227,the design and performance evaluation of alternative xml storage strategies,"f tian , d dewitt , j chen , c zhang",sigmod record,2002
228,guest editor 's introduction,,,2002
229,including group-by in query optimization,"s chaudhuri , k shim",vldb,1994
230,persistent threads,"f matthes , j schmidt",vldb,1994
231,the n-tier hub technology,"r sommer , t gulledge , d bailey",sigmod record,2002
232,supporting global user profiles through trusted authorities,i cingil,sigmod record,2002
233,memory-contention responsive hash joins,"d davison , g graefe",vldb,1994
234,business data management for b2b electronic commerce,"c quix , m schoop , m jeusfeld",sigmod record,2002
235,v-trees - a storage method for long vector data,"m mediano , m casanova , m dreux",vldb,1994
236,qualified answers that reflect user needs and preferences,"t gaasterland , j lobo",vldb,1994
237,semantic b2b integration : issues in ontology-based applications,"z cui , d jones , p o'brien",sigmod record,2002
238,rp * : a family of order preserving scalable distributed data structures,"w litwin , m neimat , d schneider",vldb,1994
239,the role of b2b engines in b2b integration architectures,c bussler,sigmod record,2002
240,supply chain infrastructures : system integration and information sharing,"m ball , m ma , l raschid , z zhao",sigmod record,2002
241,on index selection schemes for nested object hierarchies,"s chawathe , m chen , p yu",vldb,1994
242,interview with avi silberschatz,,,2002
243,reasoning about spatial relationships in picture retrieval systems,"a sistla , c yu , r haddad",vldb,1994
244,what will be - book review,,,2002
245,on spatially partitioned temporal join,"h lu , b ooi , k tan",vldb,1994
246,modelling and querying video data,"r hjelsvold , r midtstraum",vldb,1994
247,too much middleware,m stonebraker,sigmod record,2002
248,materialization : a powerful and ubiquitous abstraction pattern,"a pirotte , e zimсnyi , d massart , t yakusheva",vldb,1994
249,the xml typechecking problem,d suciu,sigmod record,2002
250,report on the 18th british national conference on databases ( bncod ),,,2002
251,maximizing buffer and disk utilizations for news on-demand,"r ng , j yang",vldb,1994
252,reminiscences on influential papers,,,2002
253,investigation of algebraic query optimisation techniques for database programming languages,"a poulovassilis , c small",vldb,1994
254,join index hierarchies for supporting efficient navigations in object-oriented databases,"z xie , j han",vldb,1994
255,letter to sigmod record editor,n elderini,,2002
256,hilbert r-tree : an improved r-tree using fractals,"i kamel , c faloutsos",vldb,1994
257,why i like working in academia,r snodgrass,sigmod record,2002
258,a survey of logical models for olap databases,"p vassiliadis , t sellis",sigmod record,1999
259,qc-trees : an efficient summary structure for semantic olap,"l lakshmanan , j pei , y zhao",sigmod conference,2003
260,fintime - a financial time series benchmark,"k jacob , d shasha",sigmod record,1999
261,spreadsheets in rdbms for olap,"a witkowski , s bellamkonda , t bozkaya , g dorman , n folkert , a gupta , l sheng , s subramanian",sigmod conference,2003
262,xrank : ranked keyword search over xml documents,"l guo , f shao , c botev , j shanmugasundaram",sigmod conference,2003
263,diluting acid,"t kempster , c stirling , p thanisch",sigmod record,1999
264,querying structured text in an xml database,"s al-khalifa , c yu , h jagadish",sigmod conference,2003
265,design and management of data warehouses : report on the dmdw '99 workshop,"s gatziu , m jeusfeld , m staudt , y vassiliou",sigmod record,1999
266,vist : a dynamic index method for querying xml data by tree structures,"h wang , s park , w fan , p yu",sigmod conference,2003
267,editor 's notes,m franklin,sigmod record,1999
268,rights protection for relational data,"r sion , m atallah , s prabhakar",sigmod conference,2003
269,sql standardization : the next steps,"a eisenberg , j melton",sigmod record,2000
270,reminiscences on influential papers,,,2000
271,information sharing across private databases,"r agrawal , a evfimievski , r srikant",sigmod conference,2003
272,incremental maintenance of recursive views using relational calculus/sql,"g dong , j su",sigmod record,2000
273,winnowing : local algorithms for document fingerprinting,"s schleimer , d wilkerson , a aiken",sigmod conference,2003
274,data quality and data cleaning : an overview,"t johnson , t dasu",sigmod conference,2003
275,sigmod sister societies,"s ceri , l kalinichenko , m kitsuregawa , h lu , z жzsoyoglu , r snodgrass , v vianu",sigmod record,2000
276,birn-m : a semantic mediator for solving real-world neuroscience problems,"a gupta , b ludфscher , m martone",sigmod conference,2003
277,a system for watermarking relational databases,"r agrawal , p haas , j kiernan",sigmod conference,2003
278,chair 's message,,,2000
279,beyond document similarity : understanding value-based search and browsing technologies,"a paepcke , h garcia-molina , g rodrэguez-mulр , j cho",sigmod record,2000
280,aurora : a data stream management system,"d abadi , d carney , u чetintemel , m cherniack , c convey , c erwin , e galvez , m hatoun , a maskey , a rasin , a singer , m stonebraker , n tatbul , y xing , r yan , s zdonik",sigmod conference,2003
281,improving the efficiency of database-system teaching,j ullman,sigmod conference,2003
282,comparative analysis of five xml query languages,"a bonifati , s ceri",sigmod record,2000
283,an extensible compressor for xml data,"h liefke , d suciu",sigmod record,2000
284,"proceedings of the 2003 acm sigmod international conference on management of data , san diego , california , usa , june 9-12 , 2003",,,2003
285,an optimisation scheme for coalesce/valid time selection operator sequences,c vassilakis,sigmod record,2000
286,efficient processing of joins on set-valued attributes,n mamoulis,sigmod conference,2003
287,hierarchies and relative operators in the olap environment,"e pourabbas , m rafanelli",sigmod record,2000
288,data grid management systems,"a jagatheesan , a rajasekar",sigmod conference,2003
289,evaluating probabilistic queries over imprecise data,"r cheng , d kalashnikov , s prabhakar",sigmod conference,2003
290,evolution and change in data management - issues and directions,"j roddick , l al-jadir , l bertossi , m dumas , f estrella , h gregersen , k hornsby , j lufter , f mandreoli , t mфnnistі , e mayol , l wedemeijer",sigmod record,2000
291,adaptive filters for continuous queries over distributed data streams,"c olston , j jiang , j widom",sigmod conference,2003
292,generating dynamic content at database-backed web servers : cgi-bin vs. mod_perl,"a labrinidis , n roussopoulos",sigmod record,2000
293,knowledge discovery in data warehouses,t palpanas,sigmod record,2000
294,dynamic xml documents with distribution and replication,"s abiteboul , a bonifati , g cobena , i manolescu , t milo",sigmod conference,2003
295,editor 's notes,m franklin,sigmod record,2000
296,dynamic sample selection for approximate query processing,"b babcock , s chaudhuri , g das",sigmod conference,2003
297,cmvf : a novel dimension reduction scheme for efficient indexing in a large image database,"j shen , a ngu , j shepherd , d huynh , q sheng",sigmod conference,2003
298,the implementation and performance of compressed databases,"t westmann , d kossmann , s helmer , g moerkotte",sigmod record,2000
299,dbcache : middle-tier database caching for highly scalable e-business architectures,"c bornhіvd , m altinel , s krishnamurthy , c mohan , h pirahesh , b reinwald",sigmod conference,2003
300,metadata standards for data warehousing : open information model vs. common warehouse metamodel,"t vetterli , a vaduva , m staudt",sigmod record,2000
301,a comprehensive xquery to sql translation using dynamic interval encoding,"d dehaan , d toman , m consens , m жzsu",sigmod conference,2003
302,spatial operators,"e clementini , p felice",sigmod record,2000
303,reminiscences on influential papers,,,2000
304,gigascope : a stream database for network applications,"c cranor , t johnson , o spatscheck , v shkapenyuk",sigmod conference,2003
305,formal semantics and analysis of object queries,g bierman,sigmod conference,2003
306,report on second international workshop on advanced issues of e-commerce and web-based information systems,,,2000
307,provision of market services for eco compliant electronic market places,"s arpinar , a dogac",sigmod record,2000
308,hardware acceleration for spatial selections and joins,"c sun , d agrawal , a abbadi",sigmod conference,2003
309,a characterization of the sensitivity of query optimization to storage access cost parameters,"f reiss , t kanungo",sigmod conference,2003
310,"workshop on performance and architecture of web servers ( paws-2000 , held in conjection with sigmetrics-2000 )",,,2000
311,a theory of redo recovery,"d lomet , m tuttle",sigmod conference,2003
312,report in isdo ' 00 : the caise * 00 workshop on infrastructures for dynamic business-to-business service outsourcinga,,,2000
313,sigmod digital symposium collection ( disc ) editor 's message,,,2000
314,cache-and-query for wide area sensor databases,"a deshpande , s nath , p gibbons , s seshan",sigmod conference,2003
315,composing xsl transformations with xml publishing views,"c li , p bohannon , h korth , p narayan",sigmod conference,2003
316,sigmod ' 2000 program chair 's message,,,2000
317,an optimal and progressive algorithm for skyline queries,"d papadias , y tao , g fu , b seeger",sigmod conference,2003
318,information director 's message,,,2000
319,sigmod anthology editor 's message,,,2000
320,contorting high dimensional data for efficient main memory processing,"b cui , b ooi , j su , k tan",sigmod conference,2003
321,chair 's message,,,2000
322,visionary : a next generation visualization system for databases,m stonebraker,sigmod conference,2003
323,comparative analysis of six xml schema languages,"d lee , w chu",sigmod record,2000
324,extracting and exploiting structure in text search,p raghavan,sigmod conference,2003
325,building notification services with microsoft sqlserver,p seshadri,sigmod conference,2003
326,vice chair 's message,,,2000
327,google in a box - building the google search appliance,n shivakumar,sigmod conference,2003
328,nonstop sql/mx publish/subscribe : continuous data streams in transaction processing,h zeller,sigmod conference,2003
329,editor 's notes,m franklin,sigmod record,2000
330,data management challenges in crm,g colliat,sigmod conference,2003
331,new tpc benchmarks for decision support and web commerce,"m pіss , c floyd",sigmod record,2000
332,integration of electronic tickets and personal guide system for public transport using mobile terminals,"k goto , y kambayashi",sigmod conference,2003
333,constraint databases : a tutorial introduction,j bussche,sigmod record,2000
334,multi-dimensional clustering : a new data layout scheme in db2,"s padmanabhan , b bhattacharjee , t malkemus , l cranston , m huras",sigmod conference,2003
335,generating spatiotemporal datasets on the www,"y theodoridis , m nascimento",sigmod record,2000
336,theory of answering queries using views,a halevy,sigmod record,2000
337,using sets of feature vectors for similarity search on voxelized cad objects,"h kriegel , s brecheisen , p krіger , m pfeifle , m schubert",sigmod conference,2003
338,object database evolution using separation of concerns,"a rashid , p sawyer",sigmod record,2000
339,a framework for change diagnosis of data streams,c aggarwal,sigmod conference,2003
340,on relational support for xml publishing : beyond sorting and tagging,"s chaudhuri , r kaushik , j naughton",sigmod conference,2003
341,moving up the food chain : supporting e-commerce applications on databases,a jhingran,sigmod record,2000
342,reminiscences on influential papers,,,2000
343,qcluster : relevance feedback using adaptive clustering for content-based image retrieval,"d kim , c chung",sigmod conference,2003
344,oracle xml db repository,v krishnamurthy,sigmod conference,2003
345,vldb workshop on technologies in e-services ( tes ),,,2000
346,sigmod program review,,,2000
347,oracle rac : architecture and performance,a pruscino,sigmod conference,2003
348,the future of web services - i,a bosworth,sigmod conference,2003
349,using quantitative information for efficient association rule generation,"b pєssas , w jr. , m carvalho , r resende",sigmod record,2000
350,the future of web services - ii,f cabrera,sigmod conference,2003
351,"research and practice in federated information systems , report of the efis ' 2000 international workshop",,,2000
352,processing set expressions over continuous update streams,"s ganguly , m garofalakis , r rastogi",sigmod conference,2003
353,editor 's notes,m franklin,sigmod record,2000
354,cache invalidation scheme for mobile computing systems with real-time data,"j yuen , e chan , k lam , h leung",sigmod record,2000
355,robust and efficient fuzzy match for online data cleaning,"s chaudhuri , k ganjam , v ganti , r motwani",sigmod conference,2003
356,mapping data in peer-to-peer systems : semantics and algorithmic issues,"a kementsietsidis , m arenas , r miller",sigmod conference,2003
